rb,range_m,d_tot,b_tot,tot_x,d_pk,b_pk,pk_x,d_kurt,b_kurt,kurt_dx,d_cep,b_cep,cep_x,d_papr,b_papr,d_supra,b_supra
1,2.638466734211415,125.37570058739502,121.3181058249153,2.545420141254218,99.4265542568537,101.32650632616293,0.6456613548042109,43.12033791967395,83.6314216877757,-40.51108376810175,-6.948380388552801,-7.194690153855642,1.0583540511603873,10.368927945622293,15.716920218959157,6.0,13.4
2,5.27693346842283,125.10104367809171,119.80574037449337,3.3847790974049246,99.52111854642386,98.78688422485226,1.1841955702073972,43.73457179190264,94.17681542639873,-50.442243634496094,-7.887399108347782,-8.777612726491453,1.2274996071819604,9.404489557557486,14.167121811705266,5.5,11.6
3,7.915400202634245,124.56833181346283,118.67723149511463,3.8824871931887666,97.37230188095273,95.88718551940495,1.4077049448285426,26.002142458082865,73.59540100183875,-47.59325854375589,-9.212162909906302,-9.118372346225552,0.9786354501801171,7.788441065611086,11.67434470014417,3.35,9.2
4,10.55386693684566,124.21795825531368,118.04132355602901,4.14632623806972,96.84359053668001,92.88590809357225,2.487529525754998,10.827172369880337,50.434413994157964,-39.60724162427763,-8.716870338545641,-9.762458056288352,1.2722099028008962,6.761218741349173,10.064379267926308,3.4,7.1
5,13.192333671057074,124.17836936150039,117.77790182321101,4.365628277374371,95.67905134229633,91.79988091946268,2.4429638600019015,4.890329698311273,27.722961994227354,-22.83263229591608,-8.984020941851126,-9.921544434499875,1.2409444734766095,5.761195113145865,8.793012633951724,0.95,6.75
6,15.83080040526849,124.07562017481908,117.50742686429115,4.5375281365871025,95.60189377522548,91.14288375938482,2.7919073470586824,5.3098471786224035,21.444559315993168,-16.134712137370762,-8.50284850856604,-10.083559813628266,1.4390342498035582,5.890791289872482,8.373390314744547,2.5,7.9
7,18.469267139479904,124.0109115288371,117.3261944709166,4.660920611981379,95.49168778602737,90.89869887575911,2.8793793852886482,3.032022312326766,22.35080606222146,-19.318783749894692,-9.302097734735648,-9.8284599421883,1.1288499569205412,5.717146120010374,8.532425609688596,1.45,5.4
8,21.10773387369132,124.0775604592161,117.27063746421234,4.793936747102303,95.72134838904857,90.90267046400153,3.0329677506125505,1.2177883936731555,17.063531846607468,-15.845743452934313,-8.288403124932735,-9.852209153091904,1.4334435764519138,5.434289170217048,8.339276888398182,1.95,3.95
9,23.746200607902736,124.22306382551673,117.2046189807841,5.0332034367333,95.85816105981488,90.25669675834256,3.6320049366606115,2.9592258896541823,10.969004380895733,-8.009778491241551,-9.397385587432257,-10.046252916578128,1.1611457392904156,5.591924293900207,7.803685377049521,1.65,5.7
10,26.38466734211415,124.0909738309194,116.98798323720511,5.1321466691284074,95.61468539392524,90.04883363435485,3.602343943975783,2.471141376525404,13.434857602176525,-10.96371622565112,-8.76987294334095,-10.059399397483583,1.3457136121845503,5.506562484205145,7.735960258125137,1.0,6.6
11,29.023134076325565,123.74832787823998,116.15720128654202,5.742654115414436,95.15754884463468,89.37632291254299,3.785494270594319,1.7531040368066702,23.449116108754616,-21.696012071947948,-9.33836310329427,-9.713337077170893,1.090177959216444,5.430019442909073,8.67642792329236,2.65,4.35
12,31.66160081053698,123.54111111855036,114.85524254341605,7.389020262693756,94.58401956188689,88.83669346113702,3.7560607690792964,7.337329853485697,52.615761633540515,-45.27843178005482,-9.834091046203497,-9.895483224501909,1.0142364581826524,5.6851033881737845,10.343236576801758,0.75,7.85
13,34.300067544748394,124.2070321036939,116.1444406055064,6.401166884584923,95.56018030377592,89.12406238988005,4.401612348004873,3.260465070803504,25.258231836346194,-21.99776676554269,-9.236847672813497,-9.655419725267254,1.1011771861760655,5.677883633913056,8.826683969331523,1.4,5.65
14,36.93853427895981,124.45761884788469,116.93745834934286,5.649578530964891,95.50186965232032,89.78533709816341,3.7295227047750843,2.5896674062003866,22.82943116932445,-20.239763763124063,-8.777009833428389,-9.75742219736627,1.2532601667280319,5.465051524612443,8.699280900045228,1.4,3.85
15,39.57700101317123,124.503042175352,117.22899544589293,5.338320852892802,96.17910709644003,90.36648592271992,3.8129588415849227,6.032605581605028,25.055417383908328,-19.0228118023033,-9.65714465016946,-9.805349893743081,1.0347144743403802,5.96050506408746,8.687025909267842,0.95,5.85
16,42.21546774738264,124.46630112268504,117.33341752267123,5.167593698846039,96.20526953275859,90.55307604197576,3.6746785059335436,5.885085929029307,28.447961900208263,-22.562875971178954,-8.231906179599486,-9.946320113809952,1.4840256022901146,5.988579607015298,8.98359927239798,0.95,5.25
17,44.85393448159405,124.4338711707295,117.47202103283125,4.968039198107491,96.47220771183291,89.95133094299331,4.488359933621415,6.801324645692145,34.905877335773695,-28.10455269008155,-8.97044239016246,-9.493197304141956,1.1279127121341432,6.329278899902894,9.505754814714676,1.95,4.9
18,47.49240121580547,124.53970452560364,117.8075130530145,4.712150439820944,96.0898726618983,91.05104659318796,3.1906752745296565,14.982982219423757,40.74350749852081,-25.760525279097056,-8.484839301254112,-9.846939433332468,1.3683903826552772,6.705772192434327,9.99518399735983,1.0,5.0
19,50.130867950016885,124.63941218996672,118.0887306247977,4.51926862485319,96.47037449269037,91.67584929788958,3.016147105994235,12.080381718633049,52.40965174266462,-40.32927002403157,-9.062795293773345,-9.594792841525038,1.1303156865045894,6.488439956375655,10.394479210607733,0.9,5.4
20,52.7693346842283,124.69960580456896,118.46943427977973,4.197755627172123,96.72166330424041,91.87706813406226,3.0511216040244786,37.211398662788575,78.23610353214896,-41.024704869360384,-8.6916846708829,-9.142586010077185,1.1094050384236345,8.389462875842941,11.650152062938451,2.05,6.35
21,55.40780141843972,124.88708007692483,119.37788868967012,3.5556510975001108,96.96601058051382,93.22080667809959,2.368756342913679,60.03427177842715,104.49780733818882,-44.463535559761674,-8.593371753713571,-8.725093522097682,1.0307946998815773,9.837088889717588,13.825172063834554,3.35,5.45
22,58.04626815265113,125.53084412178768,121.38427819177687,2.5981043676729825,97.72816044755572,95.36412559883476,1.7234690345389625,90.08837043231813,124.3661762529334,-34.27780582061527,-7.146628263448366,-7.782362270432088,1.1576396698071814,12.199100748393382,16.131930760355196,3.4,10.05
23,60.68473488686254,132.96188583337576,133.49568845020568,0.8843409551708771,102.77146325743657,102.3986033894686,1.0896473996799867,97.13761833144443,106.75920575578452,-9.621587424340092,-6.280504447696506,-5.542139683064615,0.843652355739371,18.83793608237549,20.109387497881976,9.3,14.6
24,63.32320162107396,136.74755047139962,137.36002572183594,0.8684653085930232,106.57785787307793,108.26172569263022,0.6785990042533956,96.3047215076497,94.28324497278729,2.0214765348624155,-4.581454127136696,-3.9571048839442637,0.8660940911615472,19.56160546379038,19.86811302376738,13.35,17.6
25,65.96166835528537,130.8890330949501,129.94369338105463,1.2431798760765198,103.32918313666963,102.7601295278846,1.1400013375216107,134.3656567543246,109.41671550714486,24.948941247179732,-6.160802028619426,-5.3894760766881955,0.8372736136565957,18.721962800151353,19.474476340237704,8.7,15.25
26,68.60013508949679,125.62066581640781,121.40926306040915,2.637183049184192,100.1698624951213,97.75605828373914,1.743333281111363,74.33153026580258,106.801575795844,-32.47004553004142,-7.135188068512852,-7.700890538979555,1.1391220197367908,11.785613129982748,15.549596838065648,5.35,11.4
27,71.23860182370821,124.83380733499189,119.27288935751378,3.5982538417446457,97.60970070385238,95.22010917229592,1.7336409353744784,43.50623972080457,84.94600336151669,-41.439763640712115,-8.74490244959968,-8.74977894180605,1.0011234844624215,9.24792104759916,13.258776218460914,2.9,10.15
28,73.87706855791961,124.72597500335812,118.26432994079173,4.427560520148188,96.69005866657997,92.48583646488551,2.6328263762561113,34.213372911040665,60.32172303078791,-26.108350119747243,-8.769433209780555,-9.153412055982697,1.0924407321076754,7.947830496247107,10.84048504418954,1.55,6.65
29,76.51553529213103,124.63497644512661,118.0042960095479,4.603286904273774,95.92685229915432,91.28080867347184,2.9147704807330075,12.259221810943357,48.02727864654659,-35.76805683560323,-9.006947735687344,-9.668550456748815,1.1645557179507697,6.554323410837659,10.008921566728159,1.65,5.05
30,79.15400202634245,124.553747278734,117.61080533760727,4.946456499359518,96.0524543474677,90.68569270717504,3.440932585426866,16.0568656000983,30.705544656359706,-14.648679056261408,-8.4141675013606,-9.972750380305495,1.4317206466105035,6.62626946120415,9.115613504102036,1.65,4.6
31,81.79246876055386,124.53066816116632,117.36022496706941,5.212479013286549,95.80822125255752,90.97058388768957,3.0462373343534064,13.766011287389762,21.736406601213098,-7.970395313823335,-9.010780731420656,-9.6677698698004,1.163319247875156,6.432668957480485,8.579935879196046,1.25,6.15
32,84.43093549476528,124.58004069533288,117.28229172115687,5.367535153290866,96.0450715277697,90.26412294272659,3.785252530902966,7.811775730902012,27.62539718199195,-19.813621451089936,-8.399456138649942,-9.994670401405095,1.4438478359542812,5.922312035053322,8.499271076992873,1.5,3.9
33,87.0694022289767,124.61730685671876,117.1316989886487,5.6048086058442,95.94941106058688,89.83923474747522,4.083359634539612,4.035226574993227,18.433816295590795,-14.398589720597567,-9.64662737868164,-9.889938183624427,1.0576234717118653,5.720357025612417,8.044602324077605,0.2,4.1
34,89.7078689631881,124.52407117365813,116.75259100281066,5.986155816163574,95.71291073880236,89.40318537139964,4.275358494292249,3.054127656173952,19.020063865672125,-15.965936209498173,-8.884489522096356,-10.118090189746972,1.3284954360606727,5.3971005363198525,8.054442531991187,0.9,4.05
35,92.34633569739952,124.20855327357981,116.06837205945196,6.516555845363528,95.35156752723273,88.59247656045454,4.741427308088595,4.262285510696084,21.96482352774481,-17.702538017048724,-9.415915337462785,-9.852751101004765,1.1058177999848646,5.460456305984026,8.147106079479062,1.4,3.45
36,94.98480243161094,123.56786759092395,114.74325292809169,7.628891991650921,94.52837698734723,87.82247070255764,4.683716808776622,8.250278038994034,38.44225903135445,-30.19198099236042,-9.761517529053727,-10.431108176721434,1.1666996424358063,5.789926417595772,8.90222187640352,1.25,6.85
37,97.62326916582235,123.68114330665108,116.09076107660567,5.7416699340854995,94.96078861756754,88.66611631470036,4.260565342513864,1.7113870242137188,20.982900909247554,-19.271513885033837,-9.272915829686822,-10.234785233314808,1.2479205611792816,5.426055161188001,8.031685750041248,0.35,5.45
38,100.26173590003377,124.07483615227375,116.87981486868016,5.242061699943021,95.3008537368554,89.23596188402381,4.0410031156072295,1.9812404059970916,9.433554334235172,-7.45231392823808,-8.84846583405595,-10.290165347428374,1.3937020900825654,5.418476415199387,7.3876205058173925,0.6,5.1
39,102.90020263424519,124.20627334174574,117.23900659942515,4.974239297916802,95.71880996418056,90.14198170846068,3.61146013746567,2.2133632974103215,10.323352404236505,-8.109989106826184,-9.452610073340605,-10.109015465708307,1.1631628937506153,5.446070152113221,7.661871064630399,1.5,5.8
40,105.5386693684566,124.1462472219035,117.34267396857838,4.790240578029509,95.65879619201249,90.06834590190485,3.6228055885136823,1.8375842527476955,8.92559747175799,-7.088013219010295,-8.63749141642506,-10.303746551617518,1.4676601875731037,5.517108638883491,7.237957362039265,0.95,6.2
41,108.17713610266802,123.91120042862762,117.44163232924522,4.435645297810927,95.60632065833519,89.6791018524855,3.9149108841964884,1.908362192123232,4.5633605123959935,-2.654998320272761,-9.254623724598899,-9.973589903724285,1.1800396984219084,5.610213828061591,6.917118099032551,2.25,3.55
42,110.81560283687944,124.07178830006508,117.6149274352874,4.422685795009719,95.82353196960563,90.07102254135472,3.7605463236116017,1.5275239252034347,3.867502689543948,-2.3399787643405134,-8.606754117287101,-10.257765650926675,1.4625177759883712,5.505337784108945,6.782170854717002,1.9,5.25
43,113.45406957109084,124.21536026108144,117.84877449850049,4.331702046103051,95.935474383929,90.68110973371634,3.35302247922229,2.5550275507969467,5.646202033595195,-3.091174482798248,-9.257912714303213,-9.93522402696728,1.1687755860465248,5.616008140472056,7.1404935667973435,1.1,6.75
44,116.09253630530226,124.16590764814202,118.07760720061412,4.062843042065303,96.21488435929827,91.22766943484596,3.152982007448028,5.938319877182589,31.63196557565185,-25.69364569846926,-8.827919001971354,-9.801930910112052,1.2514145231146445,6.169142450604906,9.022847741568334,1.4,6.45
45,118.73100303951368,124.48132724548964,118.42758176407949,4.030644989712579,96.84407815427697,91.75921198468859,3.2246799473666643,20.290169458377605,52.56203961343183,-32.27187015505422,-9.286406905280495,-9.274876854611268,0.9973486288305192,7.225603924334966,10.474196066895168,3.2,6.3
46,121.36946977372509,125.12829424163495,118.94955248249146,4.148338392871559,97.97189278407023,93.2362077587882,2.975558565349816,30.607587385515615,65.2825263067864,-34.67493892127078,-7.901668664496832,-8.918750514033897,1.2638868199159616,8.602217473757944,11.824607505711032,3.0,8.2
47,124.0079365079365,128.1676912428074,124.9179455901178,2.11336526563866,107.24446678482009,101.30617623350105,3.924904148349335,105.33284291601888,141.45696699613882,-36.12412408011994,-7.294343075405889,-7.016119442851081,0.9379455704635329,15.563768818650663,18.638807469819266,12.0,14.75
48,126.64640324214793,129.86962859030962,127.9683258225909,1.549281292317981,111.07675667248597,105.56211626679172,3.560115111874618,112.76907336101033,143.56407610225324,-30.79500274124291,-5.430705657675254,-5.274750931095586,0.9647272087296278,17.147157264328573,19.731595098945597,14.35,17.7
49,129.28486997635935,126.86551433652346,122.94263141230715,2.4676768815774053,104.29477698872972,100.55102576491485,2.3679641462926755,80.97216563716037,106.49284421666076,-25.520678579500384,-7.287248381409464,-7.214204436693491,0.9833216597538126,13.388603180070115,16.69607591254661,9.1,13.5
